,Realized_Vol,PE,Imp_Vol,Short_Int,Beta_Factor,Market_Cap,Op_Margin,Ret_On_Equity,RSI_Momentum,Turnover
ALB UN Equity,-0.006610118153561226,-0.00020140229224590664,0.00010588496904128899,3.217145405774808e-11,0.006802986848594438,-7.030109919297577e-07,9.140655977115373e-05,-0.0002464217743627976,-1.021491395710172e-05,2.7492667055592833e-11
ALGN UW Equity,-0.0007663990719226263,-3.24034578523971e-06,4.462870557487968e-06,-1.3793989780001802e-10,0.006236965344802765,-8.767165698445314e-07,8.97273594739038e-06,-4.95625068657266e-06,-3.534461945150007e-05,-1.0889324482319656e-10
ALL UN Equity,-0.027064587961739234,2.2581538904337773e-05,0.000790855193041194,6.161072490485999e-10,-0.005208201158066005,-4.765606300297634e-07,0.0006455587443283998,0.0004064907891584303,-6.022949724564448e-05,-9.355521426031746e-11
ALLE UN Equity,0.018997051409035046,-0.0007876174217990037,0.00021223562493802002,-1.0697230358619444e-09,-9.992808789804919e-05,4.140765085774182e-08,0.0001513112166066525,3.98707540688698e-05,9.192387768411486e-06,4.345595094524832e-11
AMAT UW Equity,-0.016606792814786712,-1.93775171817379e-06,0.00019082934448799743,9.409438635202405e-10,0.008000744872905639,-5.859632170315277e-07,5.719544823392241e-06,-4.4131238016093774e-05,-3.1213638501921814e-05,1.060715946737236e-11
AMCR UN Equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMD UW Equity,0.006628438798609302,-4.213579322031879e-05,2.1596140500974897e-06,4.212936396045023e-11,-0.003994832650365274,-1.285986670698591e-06,-2.4726819970516015e-06,1.1895421878950055e-08,0.0001496261403646012,-9.180480399004324e-10
AME UN Equity,-0.015462124126361583,-0.00017800688536548986,0.00020049114804758584,-1.53983408170577e-10,0.0044729508606362964,-5.872163002112351e-07,0.0007363485276501501,-0.0003708332191207506,-0.00010491101357788598,9.577521881729088e-12
AMGN UW Equity,-0.0007240187608356195,-0.0001305170915479986,0.00010428764717954361,2.8670525918593673e-10,0.009276004453931244,-7.58709566734632e-08,-5.938874405576617e-05,4.22798087396179e-05,-1.0354653162364612e-06,-7.85864724356119e-12
AMP UN Equity,-0.03402629925463852,0.0008367605544002711,0.0007363811669853865,5.325516651130083e-10,-0.00841845183076213,-4.0338017739416976e-07,0.00011501594919144657,0.0002509780133127251,-0.00012875969787075757,-2.0590040254157095e-11
AMT UN Equity,-0.02868076587960751,1.255990335578817e-05,0.0004995371806853157,-1.1916639295534504e-09,-0.00046030315692418525,1.5174969832671308e-07,6.056287155447242e-05,-9.953899365069794e-05,-0.00016072773861067086,6.893339478017526e-13
AMZN UW Equity,-0.008583786988378717,1.0825346076789713e-07,6.696562517170872e-05,8.601765468560213e-10,0.0022841690980322476,-4.4693390911125605e-09,0.0004341362234028698,-0.0001625849833238296,-6.299019174505529e-05,3.996349378194498e-12
ANET UN Equity,-0.028076753709500787,-0.0005209579892720409,0.0003785592742260144,2.654009192559322e-10,-0.00016196542778357747,-1.4116077406658593e-08,0.000561837164369073,0.00012036824528563634,0.00010041843366013063,-2.6411157876467745e-10
AON UN Equity,-0.008849571227974197,-0.0004323613458115423,0.00018247853171013815,1.0103589777047541e-10,0.008001439137792044,6.175535444917366e-08,8.53879878607801e-05,-0.00013619091910284728,-4.8742086541598095e-05,3.515881667318556e-11
AOS UN Equity,-0.012641687448529301,-0.00023812758477153207,0.00012666601855737173,-1.7745404942989317e-11,0.005419196413292703,4.909100214654019e-07,-1.3761831055844956e-05,4.141296183136379e-05,-5.758917477389476e-05,9.167779785042226e-11
APA UW Equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APD UN Equity,-0.014617122484129563,7.146245385397029e-06,0.0001819738284581275,1.93268771095324e-09,0.007263180634650525,-1.9011105014152893e-07,-2.701026625000695e-05,-7.389496682031507e-05,-9.925519170750584e-05,-1.11107569347947e-11
APH UN Equity,-0.00977282195305312,-0.00021899258109976278,0.00025752004934851184,-1.2842611446771825e-09,0.01974958527841666,4.450771739602422e-07,-0.0009207299520416086,-0.00015840962643227097,-8.213211705459705e-05,9.394443763528761e-12
APO UN Equity,-0.015171000257205934,1.0180984024926583e-05,0.0003097519442944469,-3.5894778767352947e-10,0.005825432462803674,-4.792386866363903e-06,3.197897970876653e-05,9.567731720671472e-05,6.846116574544603e-05,-1.8153460472033215e-11
APP UW Equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APTV UN Equity,0.014358648430775356,0.0012785937026597348,9.970973805531797e-05,3.830778416400736e-11,0.0024801683161121066,-7.637749300925134e-07,-7.875436481599044e-05,-6.929174114263381e-05,-6.300328926678525e-05,-1.6329540614896757e-11
ARE UN Equity,0.0029753580266862313,-2.2911785577465906e-05,-3.975762798159801e-05,1.5258922892991756e-10,0.0028211694726054536,4.820002546844995e-07,-1.824067525637043e-05,-0.00018892252234108863,-4.7255413062561884e-05,-7.08769166497163e-11
ATO UN Equity,-0.003613681535472977,-0.00019681784751195887,8.024543263558075e-05,-3.153947609777349e-10,-0.00020935488583359834,1.9625929590604986e-07,5.539480174649471e-05,0.0005016012040895258,-4.6694290567167926e-05,-3.7311344836662486e-11
AVB UN Equity,-0.02661576131879219,9.555368244211428e-07,0.0005710311500751343,-6.182543365929154e-11,-0.002165364931168445,1.751995580322953e-07,0.00014874928316790129,-0.00037504823437058235,-0.00017937811708662078,4.647211500472412e-12
AVGO UW Equity,0.0019860612193240024,-0.00010231468095968076,0.00026495977345720366,3.4117136976995916e-11,0.0029779051188849456,-1.0643879390306785e-07,1.0905434857121511e-05,-0.0002463470342445958,-6.69400427399341e-05,1.406648046842643e-11
AVY UN Equity,-0.0063091519073081555,5.333137118897405e-05,8.404698075683396e-05,-2.836447533068995e-10,0.002988546423973767,-9.083985727286195e-07,1.954587971584874e-05,-1.9273588945022094e-05,1.3117004865770233e-07,4.0852897378367946e-11
AWK UN Equity,-0.0044249935011397915,-9.465294981732683e-05,0.00040939120897680466,-1.7148636229052101e-09,-4.391820627054551e-05,2.0271013100469692e-07,1.3227864926743556e-05,0.00010601520191608146,-0.00010052181548942998,8.248075223138744e-12
AXON UW Equity,-0.0001435014847972027,-2.974385862716545e-07,5.690878114019291e-05,-1.006566701855094e-10,0.0010833431765408963,-2.050509299187967e-06,0.00017217827210865363,-9.923382999625248e-05,-2.4254509319194094e-05,-9.889913046379246e-11
AXP UN Equity,-0.014552322375730124,-0.000114215394465314,0.00021743999345684868,1.797451295277359e-09,0.0005093695856198885,3.6285752284381444e-08,0.0002665457703157959,-0.00031745389144155137,-7.448911617360621e-05,8.822547958518578e-12
AZO UN Equity,-0.0012918018972908265,-0.0002648656669963132,8.628107616080548e-05,-4.641554573048548e-10,0.008519276349837568,3.6394163148254076e-08,-0.0002486519345535795,1.907817828234857e-05,-8.395478849196465e-05,1.0439817354545418e-12
BA UN Equity,-0.011957077053530744,0.00013747614668402531,5.3888589538028085e-05,1.6748689333244517e-09,0.006207464198585085,-8.729399930088194e-08,0.00016997341789803326,-4.0500871707079134e-05,-4.6838455498574014e-05,2.3787507118461724e-12
BAC UN Equity,-0.016700929522447044,-7.240301186244834e-05,0.0003078028442499419,-1.3704744533644098e-10,0.0006322172677833423,-4.806561022484654e-08,0.0001224394404012961,2.0771476206433947e-05,1.5244172147130369e-05,1.3779305245984865e-12
BALL UN Equity,-0.004424817785344114,-0.0011288545013293694,0.000123238921118832,-6.004302549695711e-10,0.008384466047484383,1.6488009650284927e-06,-0.00015160316790172493,8.915632778840608e-05,-5.643737545116226e-05,3.406212953095787e-11
BAX UN Equity,-0.01855267380613885,-0.00014671623615438172,0.00026956026814309607,9.88055489258363e-10,0.010360326796202076,-1.6655980375363785e-07,0.00016782576210335763,-0.00020419508986624761,-2.2470903616910918e-05,1.3584375336402951e-11
BBY UN Equity,0.003015060731043678,-6.515176331754624e-06,-4.6888465810396795e-06,6.055941054129898e-11,0.0010506000730784192,-5.376281378048991e-07,0.0008215232596196567,3.527197431934976e-05,2.8649679542606023e-05,4.922516653154726e-14
BDX UN Equity,-0.006760399943839505,0.00011708722270615076,0.0001078177940050081,6.232859678484861e-10,0.0011575255421975407,-1.4404665737673812e-07,-4.333482906472732e-05,2.265060209774232e-05,-5.149643884220567e-05,2.7587457387853025e-11
BEN UN Equity,-0.03653559547011913,-0.0002694920132244982,0.0005223727959718607,-4.5283818072759574e-11,0.0007328979679184471,-1.8048877481737144e-07,0.0002220029715391586,-0.00021378457575929895,-4.3031461924084285e-06,1.535739467104657e-11
BF/B UN Equity,-0.0030938416482493318,-0.0004980120773717472,-6.247759423703475e-05,2.816213720958151e-10,0.01180403373811161,-7.343351126486411e-08,4.8049938610797775e-05,0.00024749202651368007,-6.0329040179258634e-05,8.752745604543612e-12
BG UN Equity,-0.009395681091801696,-1.7248053711677516e-06,0.00032248249560046656,-1.0049638885348108e-09,-0.000984681352945276,-2.3486519347580018e-07,0.00021984213183570293,-6.876697581124227e-05,1.481135912669316e-05,1.5072588104792506e-12
BIIB UW Equity,-0.0029825646058429874,0.00013276263553374393,5.612167606429984e-05,-1.0462264899102242e-10,0.007658847472809922,-1.651028727563459e-07,-0.0001199987250286152,0.0003674912732685538,-0.00010071079662959637,-1.0861548363078833e-11
BK UN Equity,-0.018541613003948226,1.901891194031193e-05,0.00040375438499806244,5.136595593126417e-10,0.00043240803087365813,-6.483035437528674e-08,0.0001044810318966366,0.00010693232298719646,-0.00012327086520997352,-3.375403954809551e-11
BKNG UW Equity,-0.009917704345814063,-0.00023393793446091076,0.00014328779418399523,-1.2885404832917516e-10,0.006482318371628643,-1.0226933536280393e-07,5.466840543853895e-05,-1.5178141136000693e-05,3.6435157351640634e-05,2.2576829044962054e-12
BKR UW Equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLDR UN Equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLK UN Equity,-0.023356061819583444,-0.00031270873678900603,0.0002926414659171412,1.3964925443379245e-09,0.006009310910117597,-2.4633061518978062e-08,-0.00012254335829025692,0.00017621388610070308,-5.240998428005551e-05,3.887723454666775e-12
BMY UN Equity,-0.003268991688123159,2.278552659889882e-05,0.00020585076310616551,9.471371509269006e-10,-0.004158599454638436,2.4070053588403603e-08,4.4551966728763536e-05,-4.281953093460971e-05,-6.588034435415207e-05,-6.458906872522611e-12
BR UN Equity,0.004341213282458404,-0.0003233791555292501,2.8756033400243197e-05,8.930251326682054e-10,-5.239765036747517e-05,1.310241516862262e-06,-4.575595277348213e-06,-6.267013306415158e-05,-6.014590191657135e-06,4.328852674989905e-12
BRK/B UN Equity,,,,,,,,,,
BRO UN Equity,-0.004088702609203203,-0.0003536249077020753,6.864100879688384e-05,7.89151372796712e-11,0.014687240335436292,-5.716022677902965e-07,0.0002211248189685987,-0.0004963152315332201,-6.643969109228089e-05,-1.3754259900966365e-11
BSX UN Equity,-0.006983561069853138,5.406770122323804e-05,8.73447968916594e-05,4.22266974043448e-11,0.005042145015842467,-7.63335550242042e-08,2.562023302664688e-05,-6.429850051722775e-05,-0.00011186558407346224,-1.9509221640353808e-11
BX UN Equity,-0.03540880839715379,-4.2475429758993795e-05,0.0005619103381188064,-3.8902633068231904e-10,6.140364334241422e-05,-4.1464961448505395e-07,-5.5783321589206354e-06,0.0004091239987784589,4.6018105079331784e-05,1.1328484621688471e-11
BXP UN Equity,-0.01714902824857592,1.9937880748243647e-05,0.00028378165338488996,-4.4783057108006363e-10,0.001565428133811826,2.9451487200350526e-09,0.00016158656527462062,-6.036461892815885e-05,-0.00017667865463813324,1.0399993642237755e-11
C UN Equity,-0.005782061260844244,-1.4325008756313505e-07,0.00023302241490406574,1.5047197791386156e-10,0.0002928788263992351,-5.467544438964188e-08,2.069148206867404e-05,0.0004949738194159362,-2.59771468717981e-05,-1.6028204491336793e-13
CAG UN Equity,0.0018934187366622139,-0.0005413638396419182,4.280757445784479e-05,-6.171714174412879e-10,0.012647755735412138,-1.817575824552044e-07,4.346821722063598e-05,9.284639628701205e-06,8.556368141128195e-06,5.097748642428634e-11
CAH UN Equity,-0.010712906000581116,-0.00017932139682626447,9.688783917147899e-05,1.556595015320465e-09,0.010076836823004795,-9.457818219582457e-08,0.0003313010714542756,-0.00014788562674228003,-6.321432442337373e-05,2.657081142935677e-12
CARR UN Equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAT UN Equity,-0.006754163244003733,-0.00016539847623663902,0.0001358170068738463,-2.1694009991512135e-10,0.01049698088691194,-1.8943752908244033e-07,0.00036158640293737325,-0.0002468167940469114,4.641777467477179e-05,-4.270841601114906e-12
CB UN Equity,-0.003394249674846585,6.676288991743034e-05,0.0001574032283292188,5.051201011507295e-10,-0.0012262414592192584,3.5323255712011134e-08,0.00014568329902559673,2.0682569006624075e-05,-0.0001335098395704452,1.5273768262548258e-12
CBOE UF Equity,0.004092502270108776,-0.0006083136034787294,9.497073498272398e-05,-1.758538109572549e-10,-0.000591286205027007,1.4647056899446848e-06,-3.2214075962984506e-06,8.731335752759285e-05,3.734188411452595e-05,6.685345795762056e-11
CBRE UN Equity,-0.004765277842862699,-0.0010659438913226498,9.058198688897278e-05,-1.438757435800315e-09,0.018629511832325075,2.2724253718909388e-06,-0.0006148750914601155,-0.00025829477858033774,-0.00020889604123253814,-5.897299249783296e-11
CCI UN Equity,-0.03852253451587872,-1.5025853099108509e-05,0.0006710745381008753,-8.393940071215508e-10,-0.006778713095455485,-9.89532862465277e-09,8.055765078699581e-05,7.075749271240338e-05,-3.3607532769964737e-06,-3.8387126850392995e-12
CCL UN Equity,-0.007783889904469212,6.416272288225627e-05,0.00020442651007972733,-2.4560772383757608e-11,0.0012172813938924345,-2.1578661724531838e-08,-4.310167774590687e-06,-0.00028897299712282417,-6.068008486378991e-05,-6.905660406928305e-12
CDNS UW Equity,0.0006612459622293072,9.045441742123871e-05,-3.9977042682437e-05,1.622215173597121e-10,0.007373880816439439,2.2362537740088196e-08,-0.00011195086662460905,-9.202083619022652e-06,-0.00016253899389185314,-2.938156595771669e-11
CDW UW Equity,0.010956347769823542,-0.0005830216856650841,0.0002760151050805679,5.491053795749835e-10,0.0006032325538946103,-6.074890759559188e-07,0.0012003771210284304,-2.80331553479235e-06,-5.086521408044689e-05,4.39701592553667e-11
CEG UW Equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CF UN Equity,-0.0045267925266344235,-0.0001033791382386131,0.00010614923838899264,3.4937089943087713e-10,0.009079463418588361,-8.698476937671546e-08,8.086578456750275e-05,-0.0002265234188355041,-0.00011498401214606414,-4.367747226389304e-11
CFG UN Equity,-0.03560666715741049,0.0013995440266176646,0.00034155017997473036,-5.467077789960107e-10,0.019373409321234544,-2.4503774588677247e-06,1.241811377438012e-07,0.000534580341597142,-0.00012096707322246437,5.980720237955067e-12
CHD UN Equity,0.009388843497236015,-0.000924071087494284,2.5762213639190635e-06,-4.834442584205718e-10,0.018854478450016022,1.981030197646914e-07,-3.407075458119469e-05,0.0006080903680806647,-8.647430119515502e-06,9.157686128380345e-12
CHRW UW Equity,-0.002631325985991215,-1.4969976153850228e-05,9.167922334784302e-05,3.527806411188406e-10,-0.0011658940916415088,-5.855947941985826e-07,0.0012147761424390622,2.147783085778568e-05,-7.948713988221431e-05,-3.4017970468560045e-11
CHTR UW Equity,0.005718067336321962,4.2085152332481964e-07,8.15789622866285e-05,9.312558606481732e-11,0.00021993189576158432,-1.819134366361827e-07,-6.234348864051062e-07,-1.78207329683024e-06,-2.1590907605001715e-05,1.1235906088126041e-12
CI UN Equity,-0.03175154409156306,-0.0002507920549939628,0.0004117312573356851,-3.042551416456172e-10,0.003239142273378232,2.0160110478401908e-07,9.262069640967186e-05,-0.0001787640069391428,-7.440753784509205e-05,9.632292654198716e-12
CINF UW Equity,-0.0022181185022341855,4.737032850802573e-05,8.637589698364698e-05,4.06050861170801e-10,0.0004284781808672318,2.349779129471801e-07,8.752980868847379e-05,-0.0002959281052692945,-9.322092701293844e-05,3.8138682810878174e-11
CL UN Equity,-0.006341287547195982,-0.00017919024483388136,7.000533185928321e-05,-1.8367500818145382e-10,0.005072939670791285,-1.2056240040885411e-08,0.00022068891187909852,-5.927811048536905e-06,-6.05803505655393e-05,8.100656414186163e-12
CLX UN Equity,-0.01103656676925303,-0.0011114237992634192,0.00012745791159983003,1.3405779464402546e-10,0.013333346022715967,1.543110065715781e-06,-6.055043058864869e-05,3.861202354987137e-06,-5.443602424243489e-05,-2.6356672910590983e-11
CMCSA UW Equity,-0.02297474147616117,0.00019496342023845998,0.00038542112206816823,-1.2016905313106806e-10,-0.01310336264427118,-1.7817397949440905e-07,9.77400877779082e-05,0.001985613451004833,-2.4859509979243097e-05,1.6678081132766007e-12
CME UW Equity,-0.013663742357949794,6.37026234158167e-05,0.0002277582300440647,-9.568699357852792e-10,0.0029274402810907014,-7.973259161895629e-08,-4.366727710706792e-05,2.154444810786265e-05,-1.9693009145121742e-05,6.150098522608828e-12
CMG UN Equity,-0.008012951081387647,-9.854185144870308e-05,8.950005397465506e-05,-1.472152140833375e-10,0.006248177273942045,-3.1821657043361633e-07,0.0005566939053147505,-0.00020471272141059317,2.370742339455827e-06,-6.132197527479407e-12
CMI UN Equity,-0.014362039474550474,-0.0003944970733583689,0.0001160789330654141,2.2066416953153754e-10,0.011772483440355856,-1.8367539256526696e-07,4.841835264313794e-05,-0.0002628615612539994,-5.2343367913343376e-05,1.5254130003700672e-11
CMS UN Equity,-0.004976933903240418,0.00012534870850147177,9.662696045040107e-05,-4.465052338548282e-11,0.0017120012857265786,-1.658954650584826e-07,0.0001073319507333255,6.765682448260375e-05,-7.457811287529042e-05,-4.7911909697926174e-11
CNC UN Equity,-0.0036003973232119372,-7.737804427987984e-05,8.235651863625973e-05,-4.672375391382487e-12,0.005669545388967143,3.2998594757588925e-07,0.0007463743852213887,-0.00022491923741048642,-7.082989369692026e-05,-3.277345596000429e-11
CNP UN Equity,0.0016001352311607363,0.0001781772857323678,1.4466225609726739e-05,-2.538878035826247e-10,0.0006365324295281431,-4.4959834019212255e-07,0.00021142284968632527,-5.39868468676831e-05,-4.9537892082774916e-05,4.3374312027038734e-11
COF UN Equity,-0.007490719133144508,-0.0004058741729762504,0.0002508258978406092,-6.20678120538625e-10,0.0022445355962876943,9.928897737028841e-08,2.122748149022545e-05,0.00013549997448990367,-0.00014078505753516683,-7.743153376397797e-12
COIN UW Equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COO UW Equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP UN Equity,-0.026944139195863706,1.3960981637213257e-06,0.0003962551228532272,-6.208054886793541e-10,0.002357653063719548,-1.2960306678928764e-07,4.499571409473617e-05,0.00010483808160629048,4.2993058531537696e-05,1.464152065109632e-11
COR UN Equity,-0.0046982196609034995,3.7851804933692687e-06,0.00015847853455972364,7.375256177646178e-10,-0.006297669181228411,2.2391939587603193e-07,-0.0007722628982381493,0.00013936626517541898,-7.55386120543007e-05,5.662422213111487e-12
COST UW Equity,-0.015090180597410074,-0.0007992911927121685,0.00021209580636797433,-8.38683808485923e-10,0.011360733886104342,2.0223401505956578e-07,0.006165176202456177,-0.0006541755887069026,-5.1676254947203476e-05,-5.2048181038073465e-12
CPAY UN Equity,-0.0005942009212030494,-0.0004094773793584663,-0.0001348775580318409,-4.766186839945403e-10,0.0011977187375411774,5.321857931128713e-07,0.00011143706905088939,0.0004667303531639065,-4.940371816344465e-05,-1.2956415655630858e-12
CPB UW Equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPRT UW Equity,0.00505915142567069,-0.0003854780005914834,-8.53333796681547e-05,4.3012134949929095e-10,0.01006706771125132,-5.379874713005619e-07,2.257927565009958e-05,0.00010026289271393054,-1.3811917474274506e-06,8.007603969638891e-12
CPT UN Equity,0.002081762283159733,1.5816173800257133e-06,9.621435652504534e-06,-1.881629356039097e-10,0.003472960701346602,3.994849460415773e-07,3.0339133489796845e-05,3.951675307104422e-06,-0.00011303869096584275,-2.0120243655218864e-11
CRL UN Equity,-0.009190512412976663,8.937983204518561e-06,9.094796081417458e-05,1.0862401265177875e-10,0.0022979148533348063,-6.200250702983296e-07,1.821947613550721e-07,6.421219014716331e-06,6.023019664442608e-06,-1.168788603260514e-10
CRM UN Equity,,,,,,,,,,
CRWD UW Equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSCO UW Equity,-0.010204312354239692,0.0004182264253014152,0.00020010623853140573,5.430834552535179e-09,-0.005627480836975314,-4.819116273805721e-08,8.320481396186397e-05,0.00014920229831549264,-0.00010754614268824134,-5.461818309923414e-12
CSGP UW Equity,-0.013608981008883438,-6.870394190052235e-07,0.00021145742037836788,-4.259265206520097e-11,0.002435462246668852,-4.2124257431386335e-07,8.812562895965156e-05,-0.0006352952227800845,-2.737033061451578e-05,-1.9760871316986603e-11
CSX UW Equity,0.6287909158119969,0.06865842867957445,1.2694956408824581e-07,-5.294269534873425e-12,-0.14671979791520576,-0.00011443120323029663,4.280172072459087e-06,-6.486901411639937e-06,0.10934529649468597,3.2290452360167665e-10
CTAS UW Equity,-0.006024111800849429,-0.0001703910647277049,0.0001484790028294923,1.4661466670880794e-09,0.0015289047948161029,-4.616555301097454e-08,-0.00017606935423290592,0.00011040407925183774,-0.00010795040521719443,1.2113520834641824e-11
CTRA UN Equity,-0.004203004638089521,-7.090662833538727e-06,8.205044445411707e-05,-9.146291164099909e-10,0.00956866532401666,-1.9245642796439505e-07,1.2809983480821432e-06,-0.00010334481934246205,-0.00014092592081532213,9.151537390058813e-12
CTSH UW Equity,-0.014002851913620773,-4.3309920002903546e-05,0.00028910634557842755,-1.55623517861589e-09,-0.006115415113369961,-8.620821549363172e-08,0.0004941990362381158,4.0165382230180625e-05,-6.537849601867528e-05,3.9878366663271927e-11
CTVA UN Equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CVS UN Equity,-0.0011104784605122093,-0.000457335355536213,-4.944333084858879e-05,-8.343388564420507e-10,0.015073837194267907,1.4441748140751451e-09,0.00037136214949190895,4.166329466951496e-05,-9.216819804248297e-05,1.5705610319423473e-11
CVX UN Equity,-0.018949478950937963,-0.0012364606472117215,0.0005486414683517792,1.7128054503597026e-10,0.010715919513793385,2.2394420396063772e-08,0.00025849457499640136,-0.0009290296082526199,3.456809429026151e-05,6.536323582896005e-12
D UN Equity,-0.013066865011988234,-0.00021906582796490324,0.00013076843434478333,-2.944616604107141e-10,0.006885150197651433,7.915498588246584e-08,1.692048558764647e-05,-4.323415114188419e-05,-4.569620621302453e-05,3.645414190790274e-12
DAL UN Equity,-0.004608965862166364,-9.68829973289865e-05,8.381491819988202e-05,1.1929487479227736e-09,-7.536550756019971e-05,-5.5497606793267245e-08,0.00022105032670734003,1.9464603188103397e-05,-7.853611533465172e-05,1.1575478404821782e-11
